위도	경도	도시크기	도시점수	이름	국가	권역	대유행	리셋시간	기후	여관	암시장	교역품	조선소	도구점	운하
402.0490207	915.8332825	town3	-	소다섬	자유항	-	서아프리카		북반구	테쿠이치포츠 이시카쇼치친,잉엘라 가텐히엘름,타즐루 하눔,뭄타즈 마할,크리스티나 알렉산드라,샤를로트 코르데,심운영,마리 앤,레이첼 월,카탈리나 데에라우소,아나 얀선스,발푸리 인나마,카리나 물티알라,타네커 스코닝스,엘리자베스 바튼,잔 드샹탈,아사르파이,마리아 바르톨라,시도니아 폰보르크,카타리나 헤노트,이사벨라 휘트니,케나우 하셀라르,하바 카툰,카타리나 코르네르,안나 오커히엘름,아나 마리아 데소토, 시클라 샤란, 타라바이	-	-	-	-	X
450.2468466	522.9054647	town3	10	리마	자유항	남아메리카	남아메리카		남반구	가이타나,페론소 아기레,곤살로 피사로,알렉산더 셀커크,라울 핏치,오클로 코야,아사르파이,마리아 바르톨라,알론소 데멘도사,세티안 비스카이노,야코프 로헤베인,디에고 데니쿠에사,알론소 알바레스 데피네다,후안 데그리할바,페드로 데감보아,프란시스코 데헤레스, 밀란다 베르테, 카츄아파, 토니오 롯시, 세바스티안 비스카이노	-	-	-	-	X
396.3923257	716.1223926	town1	7	리우데자네이루	자유항	남아메리카	카리브/북아		남반구	크리스티안 글로리아,페론소 아기레,비센테 야녜스 핀손,후안 디아스 데솔리스,페드로 데멘도사,프란시스코 데오레야나,아메리고 베스푸치,클라라 카마랑,게오르크 폰슈파이어,한스 슈타덴,이스테방 고메스,마르팅 아폰수 드소자, 비센테 야네스 핀손	-	-	-	-	X
445.4083643	740.1640232	town1	7	바이아	자유항	남아메리카	카리브/북아		우기/건기	에드워드 로우,존 호킨스,크리스티안 글로리아,비센테 야녜스 핀손,후안 디아스 데솔리스,월터 롤리,프란시스코 데오레야나,클라라 카마랑,한스 슈타덴,이스테방 고메스, 비센테 야네스 핀손	-	-	-	-	X
340.4403073	552.6039495	town1	7	발파라이소	자유항	남아메리카	남아메리카		남반구	존 바이런,가이타나,테쿠이치포츠 이시카쇼치친,카탈리나 데에라우소,찰스 베인,곤살로 피사로,카베사 데바카,알렉산더 셀커크,라울 핏치,오클로 코야,아사르파이,알론소 데멘도사,야코프 로헤베인,페드로 데감보아,프란시스코 데헤레스, 	-	-	-	-	X
329.4336902	633.2435889	town1	7	부에노스아이레스	자유항	남아메리카	남아메리카		남반구	페르난도 데마가야네스,존 호킨스,존 바이런,비센테 야녜스 핀손,안토니오 데베리오,월터 롤리,곤살로 피사로,페드로 데멘도사,카베사 데바카,게오르크 폰슈파이어,한스 슈타덴, 비센테 야네스 핀손	-	-	-	-	X
187.2167935	575.0840562	town1	7	우수아이아	자유항	남아메리카	남아메리카		남반구	페르난도 데마가야네스,후안 디아스 데솔리스,월터 롤리,곤살로 피사로,프란시스코 데오레야나,알론소 데멘도사,이스테방 고메스, 누이 호쿠, 라 이카이카, 나니 마히나	-	-	-	-	X
377.3238745	557.2885319	town1	7	코피아포	자유항	남아메리카	남아메리카		남반구	가이타나,카탈리나 데에라우소,안토니오 데베리오,곤살로 피사로,카베사 데바카,프란시스코 데오레야나,알렉산더 셀커크,라울 핏치,오클로 코야,아사르파이,알론소 데멘도사,야코프 로헤베인,페드로 데감보아,프란시스코 데헤레스, 누이 호쿠, 라 이카이카, 나니 마히나	-	-	-	-	X
492.1238284	501.0146208	town1	7	툼베스	자유항	남아메리카	남아메리카		남반구	가이타나,테쿠이치포츠 이시카쇼치친,카탈리나 데에라우소,루이스 스콧,곤살로 피사로,니콜라우스 페데르만,알렉산더 셀커크,라울 핏치,오클로 코야,아사르파이,알론소 데멘도사,야코프 로헤베인,페드로 데감보아,프란시스코 데헤레스	-	-	-	-	X
468.3834157	761.1120616	town1	7	페르남부쿠	자유항	남아메리카	카리브/북아		우기/건기	에드워드 로우,하프메트 그라니에,다니엘 미르자,비센테 야녜스 핀손,후안 디아스 데솔리스,월터 롤리,프란시스코 데오레야나,클라라 카마랑,하산 아그하,한스 슈타덴,이스테방 고메스,디에고 카바예로,페드로 데감보아, 누이 호쿠, 에르네스트 로페스, 아흐메트 무히딘, 라 이카이카, 파우라, 나니 마히나, 로이드 스탓텐, 비센테 야네스 핀손, 페르낭 둘무	-	-	-	-	X
