위도	경도	물물교환품목	이름	선단레벨	내파	쇄빙	돌파	도시크기
894.7080685	1063.635909	주니퍼 베리/자작나무/네베르스로이드/운철	스비아인의 마을	1	2	1	0	town0
913.6824597	1017.703435	장검/자작나무/네베르스로이드/운철	사미족의 마을	1	130	80	0	town0
735.0371416	1156.207965	매스틱/차이단륵	흑해 인근 마을	1	0	0	0	town0
702.8764547	1164.51648	매스틱/차이단륵/다마스쿠스 강철	튀르크족의 마을	1	0	0	0	town0
680.1664776	1237.348479	웰드/은매화/마크라메	루르인의 마을	1	45	0	20	town0
646.0225784	1265.625	웰드/은매화	카슈카이족의 마을	1	45	0	20	town0
620.2727188	1146.691495	매스틱/차이단륵/일렉트럼	누비아인의 마을	1	0	0	10	town0
549.7049817	1138.854393	매스틱/차이단륵/나일농어/일렉트럼	바리족의 마을	1	0	0	10	town0
518.1564873	1155.942811	매스틱/차이단륵/로즈매더/일렉트럼	바간다족의 마을	1	0	0	10	town0
636.1419596	877.3427388	아르간 기름/은카카	베르베르인의 마을	1	0	0	0	town0
559.2343882	908.8679233	아르간 기름/은카카/코라	말링케족의 마을	1	10	0	3	town0
557.3891664	983.673921	아르간 기름/은카카/다이아몬드	요루바족의 마을	1	10	0	3	town0
559.3332112	1035.823046	아르간 기름/은카카/구슬 인형	반투족의 마을	1	10	0	3	town0
506.2254664	1079.663667	귀룽나무/밤바라 땅콩/제라늄/유목	후투족의 마을	1	15	0	10	town0
393.0015806	1044.720792	귀룽나무/밤바라 땅콩/유목	산족의 마을	1	15	0	10	town0
423.0385378	1110.157646	귀룽나무/밤바라 땅콩/옥파/유목	쇼나족의 마을	1	35	0	20	town0
410.3138814	1214.80945	귀룽나무/밤바라 땅콩/유목	말라가시인의 마을	1	35	0	20	town0
434.1094926	1291.166672	귀룽나무/밤바라 땅콩/유목	인도양 서쪽의 섬	1	45	0	0	town0
787.0278085	258.8894703	카마스/풀케	치누크족의 마을	1	120	75	0	town0
670.7045249	314.9276827	카마스/풀케/왐품	아파치족의 마을	1	110	0	0	town0
658.6123698	417.988496	소프리토/후티아/쇼콜라틀	코만치족의 마을	1	15	0	10	town0
747.6053582	377.9485745	골든씰/아메리카 들소/모카신/독수리 깃털	샤이엔족의 마을	1	15	0	10	town0
754.2622422	429.3022045	골든씰/아메리카 들소	포니족의 마을	1	15	0	10	town0
812.8781572	405.3489623	골든씰/아메리카 들소/모카신/독수리 깃털	수족의 마을	1	15	0	10	town0
619.3591043	405.7614485	소프리토/후티아/쇼콜라틀	코아우일테칸족의 마을	1	15	0	10	town0
605.976139	547.447959	소프리토/후티아/카넬라	시과요족의 마을	1	15	0	10	town0
509.8371198	601.1586187	마호가니/아줄 마야	투카노족의 마을	1	15	0	10	town0
479.1770446	599.7149388	마호가니/아줄 마야	무라족의 마을	1	15	0	10	town0
499.1476405	528.2971539	마호가니/아줄 마야/과라나/수마	위토토족의 마을	1	15	0	10	town0
474.5756345	524.1429016	마호가니/아줄 마야/과라나/수마	히바로족의 마을	1	15	0	10	town0
500.8202157	441.1462431	피스코/봄빌라	신대륙 서쪽의 섬	1	100	0	0	town0
423.8698816	554.7252698	피스코/봄빌라	케추아족의 마을	1	65	0	0	town0
428.4549008	622.8432195	치리모야/난두티/기니피그/패각 세공품	시리오노족의 마을	1	55	0	30	town0
416.0576499	673.1656557	치리모야/난두티/기니피그/패각 세공품	보로로족의 마을	1	55	0	30	town0
