이름	품목	명산품	도시	성수기	평수기	비수기	설명
가지	식료품	명산품	에도	가을/건기		봄	열대 지방이 원산지인 보라색 채소.열매는 보통 껍질째로 조리하며, 튀기거나 쪄서 먹는 등 요리법이 다양하다.
각세공	공예품	명산품	단나하/타이난				
간장	조미료	-	사카이/에조	여름/건기	4계절	겨울	콩을 발효 시켜 만든 조미료.콩으로 만든 메주를 소금물에 담근 즙액을 달여서 만든다.
감람석	보석	-	카카투와	여름/우기		겨울/건기	올리브 빛 결정의 보석.밤에도 빛나는 특징 때문에 "이브닝 에메랄드"라고 불린다.
감송	향료	-	단나하/중경	가을/우기		봄/건기	감송향이라는 식물의 뿌리.향이 좋아서 향송이라고도 불리며 약재로 사용된다.
감자	식료품	-	포를라마르/메리다/베라크루스/산토도밍고/포트로열/포르토벨로	가을/건기		봄	중남아메리카 원산의 식용 작물.녹말 성분이 풍부하며 다양한 요리의 재료로 사용된다.
감초	의약품	-	에조	봄/우기		가을	해독작용, 간염, 피부염 등에 효과가 있는 약재뿌리에서 단맛이 나기 때문에 붙은 이름이다.
강철	공업품	명산품	도버/런던/플리머스				
강황	염료	-	마실리파트남/퐁디셰리	여름/우기	4계절	겨울/건기	강황의 뿌리 부분을 건조한 다음 빻아 만든 노란색 염료.터메릭이라고도 불리며 향신료나 약용으로 사용된다.
개암	식료품	-	나폴리/라구사/세우타/피사	가을/건기		봄	개암나무의 열매.강장제로 사용하며 고소한 맛이 있어 생으로도 먹는다.
개오지	잡화	-	사마라이/실론/수바/나하	우기			광택이 나는 껍질로 둘러싸인 조개류."카우리"라고도 불리며 화폐 혹은 부적으로 사용되었다고 한다.
거울	미술품	명산품	베네치아/안코나/트리에스테				
거위	가축	-	롭부리/배로우/브레멘/아르한겔스크/덴헬데르	겨울/건기	4계절	여름	개리를 잡아다 길러내 식용으로 개량한 가축.낯선 사람을 보면 울기 때문에 동양에서는 집을 지키는 데에도 사용했다.
건포도	기호품	-	마데이라/보르도/트라브존	가을/건기		봄/우기	포도 열매를 말린 것.간식으로 좋으며 요리에도 적합하다.
게	식료품	-	누탁/배로우/어널래스카/코르프/오호츠크/체르스키	가을/건기		봄	다리가 열 개인 갑각류.단단한 껍질 속의 살이 맛있다.
